1,0,-2,143,3,65,3,41,0,-2,774,524,2,2,4,0,-2,358,110,2,0,44,0,-2,989,569,1,3
1,0,-2,143,3,65,3,8,0,-2,613,69,1,3,4,0,-2,358,110,2,0,50,0,-2,828,114,0,0
1,0,-2,143,3,65,3,10,0,-2,153,229,1,3,8,0,-2,613,69,1,3,14,0,-2,623,233,3,3
1,0,-2,143,3,65,3,23,0,-2,467,379,3,1,8,0,-2,613,69,1,3,28,0,-2,937,383,1,1
1,0,-2,143,3,65,3,3,0,-2,307,104,3,2,8,0,-2,613,69,1,3,49,0,-2,777,108,1,2
1,0,-2,143,3,65,3,4,0,-2,358,110,2,0,8,0,-2,613,69,1,3,50,0,-2,828,114,0,0
2,0,-2,149,1,43,1,1,0,-2,143,65,3,3,10,0,-2,153,229,1,3,11,0,-2,147,251,3,1
2,0,-2,149,1,43,1,20,0,-2,115,351,3,1,10,0,-2,153,229,1,3,32,0,-2,119,537,3,3
2,0,-2,149,1,43,1,30,0,-2,1142,390,2,0,10,0,-2,153,229,1,3,48,0,-2,1146,576,2,2
3,0,-2,307,3,104,2,49,0,-2,777,108,1,2,10,0,-2,153,229,1,3,14,0,-2,623,233,3,3
1,0,-2,143,3,65,3,30,0,-2,1142,390,2,0,11,0,-2,147,251,3,1,48,0,-2,1146,576,2,2
8,0,-2,613,1,69,3,29,0,-2,940,371,0,1,11,0,-2,147,251,3,1,36,0,-2,474,553,2,3
1,0,-2,143,3,65,3,26,0,-2,739,359,3,1,12,0,-2,401,250,1,0,43,0,-2,997,544,1,2
4,0,-2,358,2,110,0,9,0,-2,580,93,0,3,12,0,-2,401,250,1,0,14,0,-2,623,233,3,3
3,0,-2,307,3,104,2,23,0,-2,467,379,3,1,14,0,-2,623,233,3,3,40,0,-2,783,508,3,2
10,0,-2,153,1,229,3,23,0,-2,467,379,3,1,14,0,-2,623,233,3,3,28,0,-2,937,383,1,1
10,0,-2,153,1,229,3,3,0,-2,307,104,3,2,14,0,-2,623,233,3,3,49,0,-2,777,108,1,2
10,0,-2,153,1,229,3,4,0,-2,358,110,2,0,14,0,-2,623,233,3,3,50,0,-2,828,114,0,0
1,0,-2,143,3,65,3,17,0,-2,287,392,3,2,15,0,-2,630,197,2,3,41,0,-2,774,524,2,2
3,0,-2,307,3,104,2,5,0,-2,354,123,2,1,16,0,-2,233,406,1,0,18,0,-2,280,425,0,3
10,0,-2,153,1,229,3,25,0,-2,703,331,3,1,16,0,-2,233,406,1,0,40,0,-2,783,508,3,2
14,0,-2,623,3,233,3,24,0,-2,491,389,3,3,16,0,-2,233,406,1,0,33,0,-2,101,562,1,0
6,0,-2,529,1,69,3,9,0,-2,580,93,0,3,19,0,-2,53,408,1,2,22,0,-2,104,432,0,2
12,0,-2,401,1,250,0,23,0,-2,467,379,3,1,19,0,-2,53,408,1,2,32,0,-2,119,537,3,3
2,0,-2,149,1,43,1,10,0,-2,153,229,1,3,20,0,-2,115,351,3,1,32,0,-2,119,537,3,3
3,0,-2,307,3,104,2,14,0,-2,623,233,3,3,23,0,-2,467,379,3,1,40,0,-2,783,508,3,2
10,0,-2,153,1,229,3,14,0,-2,623,233,3,3,23,0,-2,467,379,3,1,28,0,-2,937,383,1,1
4,0,-2,358,2,110,0,12,0,-2,401,250,1,0,24,0,-2,491,389,3,3,37,0,-2,534,529,2,3
10,0,-2,153,1,229,3,16,0,-2,233,406,1,0,25,0,-2,703,331,3,1,40,0,-2,783,508,3,2
22,0,-2,104,0,432,2,38,0,-2,579,565,3,3,25,0,-2,703,331,3,1,46,0,-2,1178,464,2,2
1,0,-2,143,3,65,3,12,0,-2,401,250,1,0,26,0,-2,739,359,3,1,43,0,-2,997,544,1,2
8,0,-2,613,1,69,3,11,0,-2,147,251,3,1,29,0,-2,940,371,0,1,36,0,-2,474,553,2,3
26,0,-2,739,3,359,1,33,0,-2,101,562,1,0,29,0,-2,940,371,0,1,34,0,-2,302,574,2,0
1,0,-2,143,3,65,3,11,0,-2,147,251,3,1,30,0,-2,1142,390,2,0,48,0,-2,1146,576,2,2
4,0,-2,358,2,110,0,51,0,-2,792,163,0,1,33,0,-2,101,562,1,0,39,0,-2,535,615,3,1
26,0,-2,739,3,359,1,29,0,-2,940,371,0,1,33,0,-2,101,562,1,0,34,0,-2,302,574,2,0
10,0,-2,153,1,229,3,15,0,-2,630,197,2,3,35,0,-2,297,556,1,2,41,0,-2,774,524,2,2
24,0,-2,491,3,389,3,28,0,-2,937,383,1,1,36,0,-2,474,553,2,3,42,0,-2,920,547,0,1
41,0,-2,774,2,524,2,8,0,-2,613,69,1,3,44,0,-2,989,569,1,3,50,0,-2,828,114,0,0
